Date;Annee;Jour;Mois;Day Week;Schedule Type;Week Index;Index Day Week;Time Slot;Number of Boarding Passengers;Number of Disembarking Passengers;Number of Stops
2022-12-01;2022;1;12;Jeudi;NORMAL;48;4;7;58042;51136;14954
2022-12-01;2022;1;12;Jeudi;NORMAL;48;4;12;47433;47636;11464
2022-12-01;2022;1;12;Jeudi;NORMAL;48;4;14;39346;39148;10878
2022-12-01;2022;1;12;Jeudi;NORMAL;48;4;19;37301;40494;12947
2022-12-01;2022;1;12;Jeudi;NORMAL;48;4;10;31429;31981;10947
2022-12-01;2022;1;12;Jeudi;NORMAL;48;4;20;22097;23995;9446
2022-12-01;2022;1;12;Jeudi;NORMAL;48;4;23;8745;9368;5611
2022-12-01;2022;1;12;Jeudi;NORMAL;48;4;5;6401;5247;5345
2022-12-01;2022;1;12;Jeudi;NORMAL;48;4;1;203;335;323
2022-12-02;2022;2;12;Vendredi;NORMAL;48;5;17;70965;73271;15372
2022-12-02;2022;2;12;Vendredi;NORMAL;48;5;8;56809;59876;14961
2022-12-02;2022;2;12;Vendredi;NORMAL;48;5;12;50475;50823;11373
2022-12-02;2022;2;12;Vendredi;NORMAL;48;5;9;36561;38240;12357
2022-12-02;2022;2;12;Vendredi;NORMAL;48;5;10;32620;33002;10875
2022-12-02;2022;2;12;Vendredi;NORMAL;48;5;20;20444;22837;9287
2022-12-02;2022;2;12;Vendredi;NORMAL;48;5;22;18088;18309;5608
2022-12-02;2022;2;12;Vendredi;NORMAL;48;5;6;18030;15412;9879
2022-12-02;2022;2;12;Vendredi;NORMAL;48;5;3;259;304;343
2022-12-03;2022;3;12;Samedi;SAMEDI;48;6;17;47112;47456;9826
2022-12-03;2022;3;12;Samedi;SAMEDI;48;6;18;40097;42314;9269
2022-12-03;2022;3;12;Samedi;SAMEDI;48;6;13;37292;36897;9168
2022-12-03;2022;3;12;Samedi;SAMEDI;48;6;12;34645;34379;8812
2022-12-03;2022;3;12;Samedi;SAMEDI;48;6;10;26370;25472;7543
2022-12-03;2022;3;12;Samedi;SAMEDI;48;6;19;25523;26501;7100
2022-12-03;2022;3;12;Samedi;SAMEDI;48;6;20;19205;20045;5977
2022-12-03;2022;3;12;Samedi;SAMEDI;48;6;22;15596;15582;5538
2022-12-03;2022;3;12;Samedi;SAMEDI;48;6;8;14428;13536;7146
2022-12-03;2022;3;12;Samedi;SAMEDI;48;6;23;12490;13010;5609
2022-12-03;2022;3;12;Samedi;SAMEDI;48;6;5;3513;3215;3864
2022-12-04;2022;4;12;Dimanche;DIMANCHE;48;7;14;23700;23641;6643
2022-12-04;2022;4;12;Dimanche;DIMANCHE;48;7;16;23319;23550;6688
2022-12-04;2022;4;12;Dimanche;DIMANCHE;48;7;10;18256;17825;5556
2022-12-04;2022;4;12;Dimanche;DIMANCHE;48;7;21;8714;9145;4989
2022-12-04;2022;4;12;Dimanche;DIMANCHE;48;7;8;7492;6526;4876
2022-12-04;2022;4;12;Dimanche;DIMANCHE;48;7;7;4001;3770;4654
2022-12-04;2022;4;12;Dimanche;DIMANCHE;48;7;0;1436;1810;3544
2022-12-04;2022;4;12;Dimanche;DIMANCHE;48;7;1;155;259;292
2022-12-05;2022;5;12;Lundi;NORMAL;49;1;8;61761;65022;15013
2022-12-05;2022;5;12;Lundi;NORMAL;49;1;12;47000;46901;11464
2022-12-05;2022;5;12;Lundi;NORMAL;49;1;10;31474;31898;10895
2022-12-05;2022;5;12;Lundi;NORMAL;49;1;23;4911;5526;5573
2022-12-06;2022;6;12;Mardi;NORMAL;49;2;16;71185;66833;14540
2022-12-06;2022;6;12;Mardi;NORMAL;49;2;12;47886;48036;11427
2022-12-06;2022;6;12;Mardi;NORMAL;49;2;23;7264;8055;5515
2022-12-06;2022;6;12;Mardi;NORMAL;49;2;1;154;209;322
2022-12-07;2022;7;12;Mercredi;NORMAL;49;3;17;72354;71853;15370
2022-12-07;2022;7;12;Mercredi;NORMAL;49;3;18;56448;60273;15673
2022-12-07;2022;7;12;Mercredi;NORMAL;49;3;7;54750;48687;14968
2022-12-07;2022;7;12;Mercredi;NORMAL;49;3;11;44326;41178;10912
2022-12-07;2022;7;12;Mercredi;NORMAL;49;3;20;19928;21814;9349
2022-12-08;2022;8;12;Jeudi;NORMAL;49;4;8;65700;68963;15070
2022-12-08;2022;8;12;Jeudi;NORMAL;49;4;15;51395;49913;11332
2022-12-08;2022;8;12;Jeudi;NORMAL;49;4;11;41013;39276;10942
2022-12-08;2022;8;12;Jeudi;NORMAL;49;4;9;38943;41469;12424
2022-12-08;2022;8;12;Jeudi;NORMAL;49;4;4;686;425;808
