,Date,Day Week,Week Index,Index Day Week,Time Slot,Number of Boarding Passengers,Number of Stops,Schedule Type,Day,Month,Year
0,2022-12-01,Jeudi,48,4,7,58042,14954,NORMAL,1,12,2022
1,2022-12-01,Jeudi,48,4,12,47433,11464,NORMAL,1,12,2022
2,2022-12-01,Jeudi,48,4,14,39346,10878,NORMAL,1,12,2022
3,2022-12-01,Jeudi,48,4,19,37301,12947,NORMAL,1,12,2022
4,2022-12-01,Jeudi,48,4,10,31429,10947,NORMAL,1,12,2022
5,2022-12-01,Jeudi,48,4,20,22097,9446,NORMAL,1,12,2022
6,2022-12-01,Jeudi,48,4,23,8745,5611,NORMAL,1,12,2022
7,2022-12-01,Jeudi,48,4,5,6401,5345,NORMAL,1,12,2022
8,2022-12-01,Jeudi,48,4,1,203,323,NORMAL,1,12,2022
9,2022-12-02,Vendredi,48,5,17,70965,15372,NORMAL,2,12,2022
10,2022-12-02,Vendredi,48,5,8,56809,14961,NORMAL,2,12,2022
11,2022-12-02,Vendredi,48,5,12,50475,11373,NORMAL,2,12,2022
12,2022-12-02,Vendredi,48,5,9,36561,12357,NORMAL,2,12,2022
13,2022-12-02,Vendredi,48,5,10,32620,10875,NORMAL,2,12,2022
14,2022-12-02,Vendredi,48,5,20,20444,9287,NORMAL,2,12,2022
15,2022-12-02,Vendredi,48,5,22,18088,5608,NORMAL,2,12,2022
16,2022-12-02,Vendredi,48,5,6,18030,9879,NORMAL,2,12,2022
17,2022-12-02,Vendredi,48,5,3,259,343,NORMAL,2,12,2022
18,2022-12-03,Samedi,48,6,17,47112,9826,SAMEDI,3,12,2022
19,2022-12-03,Samedi,48,6,18,40097,9269,SAMEDI,3,12,2022
20,2022-12-03,Samedi,48,6,13,37292,9168,SAMEDI,3,12,2022
21,2022-12-03,Samedi,48,6,12,34645,8812,SAMEDI,3,12,2022
22,2022-12-03,Samedi,48,6,10,26370,7543,SAMEDI,3,12,2022
23,2022-12-03,Samedi,48,6,19,25523,7100,SAMEDI,3,12,2022
24,2022-12-03,Samedi,48,6,20,19205,5977,SAMEDI,3,12,2022
25,2022-12-03,Samedi,48,6,22,15596,5538,SAMEDI,3,12,2022
26,2022-12-03,Samedi,48,6,8,14428,7146,SAMEDI,3,12,2022
27,2022-12-03,Samedi,48,6,23,12490,5609,SAMEDI,3,12,2022
